theme_number,theme_name,go_id,namespace,fdr,fold_enrichment,anchor_confidence,n_genes,genes
1,negative regulation of amyloid-beta formation,GO:1902430,BP,1.39e-03,35.7316630355846,FDR<0.01,5,APOE;CLU;NTRK2;RTN1;SORL1
2,cytoskeleton organization,GO:0007010,BP,1.39e-03,3.167039997940241,FDR<0.01,25,ABLIM1;ANKFN1;APOE;CFAP43;CNN3;DCLK2;DMD;DOCK7;FIGN;FMN2;FRMD5;GFAP;GJA1;KANK1;LIMCH1;NCKAP5;NOS1AP;PARD3;PARD3B;RNF19A;SEMA6A;SORBS1;TLN2;TNIK;VIM
3,cAMP metabolic process,GO:0046058,BP,4.48e-03,24.29753086419753,FDR<0.01,5,ADCY2;ADCY8;ADCYAP1R1;PDE8A;PDE8B
4,plasma membrane region,GO:0098590,CC,6.93e-03,2.4774672708962737,FDR<0.01,27,ABCA1;ADCY8;ADCYAP1R1;ADGRV1;AHCYL1;AKAP6;ARHGEF4;ATP1B2;CD44;DMD;GABRB1;GJA1;GPM6A;GRIK1;ITGB4;KANK1;NOS1AP;PARD3;PARD3B;PCDH9;ROBO2;SLC14A1;SLC1A3;SLC24A4;SLC4A4;SLCO1C1;TNIK
5,cell-cell adhesion,GO:0098609,BP,1.04e-02,3.7525144191810855,FDR<0.05,16,ADGRV1;ASTN2;ATP1B2;CD44;CD99;CDH11;CNN3;FAT3;ITGB4;PCDH9;PTPRT;ROBO2;SPARCL1;TENM4;TLN2;VCL
6,glutamatergic synapse,GO:0098978,CC,2.35e-02,3.169243156199678,FDR<0.05,15,ADCY8;APOE;CADPS;CDH11;DAPK1;GPM6A;GRIK1;NOS1AP;NRG3;PCDH9;PLEKHA5;PRUNE2;SPARCL1;TENM4;TNIK
7,membrane raft,GO:0045121,CC,2.70e-02,4.203725063009953,FDR<0.05,10,ABCA1;ADCY2;ADCY8;ADCYAP1R1;AKAP6;CD44;DMD;GJA1;NOS1AP;SORBS1
8,cell surface,GO:0009986,CC,2.70e-02,2.83353129611633,FDR<0.05,16,ABCA1;ADCYAP1R1;ADGRV1;ANOS1;CD44;CLU;DMD;IQGAP2;ITGB4;MASP1;PTPRT;RGMA;ROBO2;SLC1A3;SLC4A4;SORL1
9,cell-substrate junction,GO:0030055,CC,2.70e-02,3.4960476063593564,FDR<0.05,12,CD44;CD99;CNN3;DMD;DOCK7;GJA1;ITGB4;SORBS1;TLN2;TNC;VCL;VIM
10,adherens junction,GO:0005912,CC,2.91e-02,4.958679768203577,FDR<0.05,8,CDH11;CNN3;FAT3;FRMD5;PARD3;PARD3B;SORBS1;VCL
11,negative regulation of cell motility,GO:2000146,BP,3.32e-02,4.608152405278842,FDR<0.05,11,APOE;ATP1B2;CDH11;FRMD5;GJA1;IL33;KANK1;LIMCH1;PTPRG;PTPRT;VCL
12,actin cytoskeleton,GO:0015629,CC,3.68e-02,4.189229459344402,FDR<0.05,9,ABLIM1;ADCY8;CNN3;DAPK1;FMN2;IQGAP2;LIMCH1;TLN2;VCL
13,neuron projection,GO:0043005,CC,3.68e-02,2.3843371408791967,FDR<0.05,21,ADCY2;ADCY8;ADGRV1;APOE;BMPR1B;CLU;DOCK7;DTNA;FAT3;GABRB1;GPM6A;HRH1;KCNN3;NTRK2;PACRG;RTN1;SEMA6A;SLC1A3;STON2;TENM4;VIM
