theme_number,theme_name,go_id,namespace,fdr,fold_enrichment,anchor_confidence,n_genes,genes
1,neuron projection,GO:0043005,CC,1.32e-05,3.101222560312975,FDR<0.01,29,ADCY2;ADGRL3;CADM1;CDH2;DTNA;EPHA3;GRIA1;GRIK3;GRIN2B;KCND3;LZTS1;MYO3B;NCAM2;NLGN4X;NRCAM;NTRK3;PACRG;PDE4B;PRICKLE2;PRKAR2B;PTCHD1;PTEN;SAMD4A;SCN1A;SEMA3A;SIPA1L1;SLC1A2;TENM1;TMEM108
2,postsynaptic density membrane,GO:0098839,CC,1.80e-05,9.535368217054263,FDR<0.01,10,GRIA1;GRIK3;GRIN2B;LRRC4C;LRRTM3;NETO2;NLGN4X;NRCAM;NTM;TMEM108
3,glutamatergic synapse,GO:0098978,CC,2.58e-05,3.979979777553084,FDR<0.01,20,ADAM23;ADGRL3;ELMOD1;GRIA1;GRIK3;LRRC4C;LRRTM3;LZTS1;NETO2;NLGN4X;NRCAM;NTRK3;NXPH1;PCDH9;PRKAR2B;SEMA3A;SIPA1L2;SLC1A2;TMEM108;TNIK
4,cell-cell junction,GO:0005911,CC,6.87e-04,3.6495593175967533,FDR<0.01,17,ADGRL3;CADM1;CDH2;CTNNA3;GRIA1;ILDR2;MYO1E;NHS;PARD3;PARD3B;PDLIM5;PGM5;PMP22;PODXL;PRKD1;PTPRJ;SCN1A
5,platelet-derived growth factor receptor signaling pathway,GO:0048008,BP,9.89e-04,27.24390919158361,FDR<0.01,5,NR4A3;PDGFC;PDGFRA;PDGFRL;PTPRJ
6,cell-cell adhesion,GO:0098609,BP,2.13e-03,3.7552415372182812,FDR<0.01,17,ADAM9;ADGRL3;CADM1;CDH2;CTNNA3;LRRC4C;NCAM2;NLGN4X;NPNT;NRCAM;NRXN3;NTM;PCDH9;PDGFRA;PDLIM5;PTPRT;TGFBR2
7,cell adhesion molecule binding,GO:0050839,MF,2.25e-03,3.615305485139057,FDR<0.01,20,ADAM23;ADAM9;ADGRL3;CDH2;CTNNA3;LRRC4C;NLGN4X;NPNT;NRCAM;NRXN3;PCDH9;PDLIM5;PHLDB2;PRKCA;PROM1;PTN;PTPRJ;PTPRT;PTPRZ1;TENM1
8,positive regulation of intracellular signal transduction,GO:1902533,BP,3.32e-03,2.7166291216678817,FDR<0.01,25,ADAM9;F3;NAMPT;NEK6;NOX4;NPNT;NPSR1;NTRK3;PCP4;PDGFC;PDGFRA;PELI2;PLCG2;PRKCA;PRKD1;PROS1;PTEN;PTPRJ;RELL1;SEMA3A;SEMA3E;STOX1;TENM1;TGFBR2;TNIK
9,positive regulation of locomotion,GO:0040017,BP,4.58e-03,3.5048921014037293,FDR<0.01,17,ADAM9;CARMIL1;F3;GRIA1;NEDD9;NR4A3;NTRK3;PDGFC;PDGFRA;PLCG2;PODXL;PRKCA;PRKD1;PTN;PTPRJ;SEMA3A;SEMA3E
10,regulation of synapse organization,GO:0050807,BP,7.06e-03,4.546665639919914,FDR<0.01,12,CDH2;GRIN2B;LRRTM3;LZTS1;NEDD9;NLGN4X;NRCAM;NTM;NTRK3;PDLIM5;PRKCA;SIPA1L1
11,regulation of cell junction assembly,GO:1901888,BP,8.48e-03,4.841033094812165,FDR<0.01,11,EPHA3;LRRTM3;LZTS1;NLGN4X;NTM;NTRK3;PDLIM5;PHLDB2;PRKCA;PTEN;PTPRJ
12,cell projection organization,GO:0030030,BP,9.48e-03,2.666670772566023,FDR<0.01,33,CARMIL1;ELMOD1;EPHA3;GAS7;LRRC4C;LZTS1;MYO16;MYO3B;NEDD9;NRCAM;NRXN3;NTRK3;PARD3;PDLIM5;PLCE1;PMP22;PRKCA;PRKD1;PROM1;PTEN;PTN;PTPN9;PTPRG;PTPRJ;PTPRT;PTPRZ1;RGMA;SEMA3A;SEMA3E;SIPA1L1;TENM1;TMEM108;TNIK
13,phosphate-containing compound metabolic process,GO:0006796,BP,9.48e-03,2.3420202638378895,FDR<0.01,28,ACSBG1;ADCY2;EPHA3;FHIT;NAMPT;NEK6;NUAK1;PDE4B;PDE4D;PDGFRA;PITPNC1;PLCB4;PLCE1;PLCG2;PLCH1;PLEKHA4;PLPP4;PLSCR1;PRKCA;PRKD1;PTEN;PTPN9;PTPRJ;PTPRT;PTPRZ1;STK33;TNIK;TPST1
14,learning or memory,GO:0007611,BP,9.48e-03,5.818190776507686,FDR<0.01,9,GRIA1;GRIN2B;NEDD9;NLGN4X;NRXN3;PRKCA;PTEN;PTN;PTPRZ1
15,phosphatidylinositol-mediated signaling,GO:0048015,BP,1.42e-02,19.899898887765417,FDR<0.05,4,PLCB4;PLCE1;PLCG2;PLCH1
16,regulation of cell adhesion,GO:0030155,BP,1.61e-02,2.904992291796504,FDR<0.05,18,ADAM9;CARMIL1;EPHA3;GLI3;ILDR2;NEDD9;NPNT;NR4A3;NUAK1;PAG1;PHLDB2;PODXL;PRKCA;PTEN;PTPRG;PTPRJ;SEMA3E;TGFBR2
17,modulation of excitatory postsynaptic potential,GO:0098815,BP,1.83e-02,11.91921027131783,FDR<0.05,5,GRIA1;GRIN2B;NLGN4X;PTEN;TMEM108
18,system development,GO:0048731,BP,1.95e-02,2.575469229043595,FDR<0.05,21,ADAM23;CNTNAP3B;DCLK2;DPF3;GAS7;NRCAM;NRXN3;NTRK3;PDGFC;PDGFRA;PMP22;PRKD1;PTEN;PTN;PTPRZ1;SEMA3A;SEMA3E;SULF1;TENM1;TGFBR2;TNIK
19,cell migration,GO:0016477,BP,1.95e-02,2.836969056313665,FDR<0.05,18,ADAM9;ADGRL3;CARMIL1;CDH2;CTNNA3;EPHA3;FMN2;NEDD9;NRCAM;NTRK3;PDE4B;PDGFRA;PHLDB2;PODXL;PTEN;PTN;SEMA3A;SEMA3E
20,negative regulation of relaxation of cardiac muscle,GO:1901898,BP,1.96e-02,114.42441860465117,FDR<0.05,2,PDE4B;PDE4D
