theme_number,theme_name,go_id,namespace,fdr,fold_enrichment,anchor_confidence,n_genes,genes
1,response to endogenous stimulus,GO:0009719,BP,1.40e-06,3.6792810597158425,FDR<0.01,28,ARID5A;BTG2;CCL2;CD44;CITED1;COL4A2;DUSP1;EDNRA;EGR1;EGR3;FOS;FOSB;HAS2;IGFBP7;IRS2;JUN;JUNB;MAP1B;NR4A3;RCAN1;SLC39A14;SORBS1;STAT3;TGFB2;TGFBR2;TIMP3;ZFP36;ZFP36L2
2,regulation of locomotion,GO:0040012,BP,3.40e-06,3.3081017480950243,FDR<0.01,30,ADAMTS9;ANO6;CCL2;CCN1;CDH11;CLIC4;DUSP1;F3;FN1;FRMD5;GADD45A;GLUL;HAS2;HIF1A;IL6R;ITGAV;LPAR1;NEDD9;NR4A3;NRP2;PDPN;PHLDB2;SERPINE1;SOD2;SPRED1;STAT3;SULF1;TGFB2;TNC;VCL
3,transcription factor AP-1 complex,GO:0035976,CC,1.79e-05,85.56956521739131,FDR<0.01,4,FOS;FOSL2;JUN;JUNB
4,cellular response to cytokine stimulus,GO:0071345,BP,2.58e-05,5.590346159672777,FDR<0.01,15,CCL2;CHI3L1;DUSP1;EGR1;FOS;GBP1;GBP2;HAS2;HIF1A;IFI16;SOCS3;STAT3;YBX3;ZFP36;ZFP36L2
5,intracellular signaling cassette,GO:0141124,BP,4.14e-05,3.5499639249639254,FDR<0.01,35,ARHGAP29;ARHGEF3;ATF3;CAMK2D;CCN1;CD44;CEBPD;CHI3L1;CITED1;DUSP1;EDNRA;FN1;FOS;GADD45A;GADD45B;GBP1;ITGAV;ITPR2;JUN;JUNB;MAP3K14;MAPK4;MFHAS1;NAMPT;NFATC2;NUDT4;PDE8B;PDPN;RASD1;RCAN1;SPRED1;STAT3;WWTR1;ZFP36;ZFP36L2
6,enzyme-linked receptor protein signaling pathway,GO:0007167,BP,5.89e-05,3.896610437950424,FDR<0.01,20,CITED1;COL4A2;DOK5;EFEMP1;FOS;ID1;IRS2;JUN;NAMPT;NEDD9;NR4A3;NRP2;SLC39A14;SORBS1;STAT3;SULF1;TGFB2;TGFBR2;TRIO;UBASH3B
7,negative regulation of apoptotic process,GO:0043066,BP,9.06e-05,3.365424076607387,FDR<0.01,23,BCL6;BTG2;CCL2;CD44;CHL1;CITED1;CLCF1;CLU;DUSP1;EGR3;FMN2;HIF1A;IRS2;ITGAV;LTF;MCL1;PDPN;RETREG1;SERPINE1;SOCS3;SOD2;STAT3;YBX3
8,growth factor binding,GO:0019838,MF,9.90e-05,8.715418679549114,FDR<0.01,11,A2M;CCN1;COL4A1;DUSP1;IGFBP7;IL1R1;IL6R;ITGAV;NRP2;OSMR;TGFBR2
9,"DNA-binding transcription activator activity, RNA polymerase II-specific",GO:0001228,MF,9.90e-05,4.546481373407256,FDR<0.01,19,ATF3;CEBPD;EGR1;EGR3;ETV6;FOS;FOSB;FOSL2;GLIS3;HIF1A;JUN;JUNB;KLF6;KLF7;NFATC2;NR4A3;PLSCR1;PRRX1;STAT3
10,positive regulation of monocyte aggregation,GO:1900625,BP,1.54e-04,106.96195652173914,FDR<0.01,3,CD44;HAS2;NR4A3
