theme_number,theme_name,go_id,namespace,fdr,fold_enrichment,anchor_confidence,n_genes,genes
11,positive regulation of miRNA transcription,GO:1902895,BP,1.54e-04,13.613339920948619,FDR<0.01,7,EGR1;FOS;HIF1A;JUN;MRTFB;STAT3;TGFB2
12,membrane raft,GO:0045121,CC,1.81e-04,5.181548066797052,FDR<0.01,14,ANXA2;BAALC;CD44;CNR1;HAS2;MYOF;NOS1AP;PDPN;PLSCR1;RFTN1;SORBS1;SPRED1;SULF1;TGFBR2
13,cell-cell adhesion,GO:0098609,BP,3.18e-04,3.7168247439986573,FDR<0.01,18,ACTN1;ANXA2;CD44;CDH11;CNN3;IL1RAP;ITGA3;ITGAV;NRCAM;PALLD;PDLIM5;SPARCL1;TENM4;TGFB2;TGFBR2;UBASH3B;VCL;VMP1
14,regulation of response to external stimulus,GO:0032101,BP,3.82e-04,2.7699311449852764,FDR<0.01,26,A2M;ANO6;BCL6;CCL2;DUSP1;F3;GBP1;GBP2;HLA-E;IFI16;IL1R1;IL1RAP;IL6R;LPAR1;LTF;MFHAS1;NEDD9;NR4A3;OSMR;PHLDB2;PLSCR1;PROS1;RFTN1;SERPINE1;STAT3;TNC
15,glutamatergic synapse,GO:0098978,CC,4.74e-04,3.5343950850661625,FDR<0.01,19,ACTN1;CADPS;CDH11;CNR1;ELMOD1;IL1RAP;ITGA3;LPAR1;MAP1B;MRTFB;NOS1AP;NRCAM;NRP2;PRUNE2;SPARCL1;STAT3;TANC1;TENM4;TRIO
16,positive regulation of transcription by RNA polymerase II,GO:0045944,BP,4.97e-04,2.5975149892529887,FDR<0.01,28,ANXA2;ATF3;CCN1;CEBPD;CITED1;EGR1;EGR3;ELL2;ETV6;FOS;FOSB;FOSL2;GLIS3;HIF1A;IFI16;JUN;JUNB;KLF6;KLF7;LMO2;MRTFB;NAMPT;NFATC2;NR4A3;PLSCR1;PRRX1;STAT3;WWTR1
17,basement membrane,GO:0005604,CC,6.54e-04,8.38917306052856,FDR<0.01,8,ANXA2;COL4A1;COL4A2;COL8A1;FN1;P3H2;TIMP3;TNC
18,cell surface,GO:0009986,CC,7.60e-04,3.118424388388896,FDR<0.01,20,ADAMTS9;ANO6;ANXA2;C1R;C3;CD44;CLIC4;CLU;F3;GPC6;HLA-E;IL1R1;IL1RAP;IQGAP2;ITGA3;ITGAV;LPAR1;LTF;SULF1;TGFBR2
19,protease binding,GO:0002020,MF,8.34e-04,7.695104785736628,FDR<0.01,10,A2M;ANXA2;CHL1;F3;FAM20C;FN1;IL1R1;ITGA3;ITGAV;SERPINE1
20,cytokine binding,GO:0019955,MF,8.34e-04,7.479857099422317,FDR<0.01,10,A2M;GBP1;IL1R1;IL6R;ITGAV;NRP2;OSMR;PDPN;TGFBR2;ZFP36
21,filopodium membrane,GO:0031527,CC,1.99e-03,23.769323671497585,FDR<0.01,4,GAP43;ITGA3;ITGAV;PDPN
22,blood vessel morphogenesis,GO:0048514,BP,2.19e-03,10.877487103905674,FDR<0.01,19,ADAM12;ADAMTS9;C3;CHI3L1;COL4A1;COL4A2;EDNRA;F3;GADD45A;HAS2;HIF1A;ID1;ITGAV;SERPINE1;SPRED1;STAT3;SULF1;TGFB2;TGFBR2
23,podosome,GO:0002102,CC,3.17e-03,13.370244565217392,FDR<0.01,5,NOS1AP;PALLD;PHLDB2;TPM4;VCL
24,response to oxygen-containing compound,GO:1901700,BP,4.04e-03,2.3498558389641633,FDR<0.01,27,ARID5A;BTG2;CCL2;CITED1;DUSP1;EDNRA;EGR1;FOS;FOSB;GBP2;GFAP;HIF1A;IGFBP7;IRS2;ITPR2;LPAR1;MAP1B;NR4A3;SERPINE1;SLC39A14;SOD2;SORBS1;STAT3;TGFB2;TGFBR2;VIM;ZFP36
25,regulation of epithelial cell proliferation,GO:0050678,BP,4.45e-03,4.4399302707137,FDR<0.01,11,CCL2;EGR3;F3;HAS2;HIF1A;NR4A3;NRP2;STAT3;SULF1;TGFB2;ZFP36
26,cell-matrix adhesion,GO:0007160,BP,4.74e-03,7.413204907447267,FDR<0.01,7,ADAMTS9;CD44;FN1;ITGA3;ITGAV;SORBS1;VCL
27,positive regulation of intracellular signal transduction,GO:1902533,BP,4.95e-03,2.437879350922829,FDR<0.01,24,ARHGEF3;CD44;CHI3L1;F3;FN1;GADD45A;GADD45B;IL1R1;IL1RAP;IRS2;ITGAV;LMCD1;LPAR1;LTF;MCL1;MFHAS1;NAMPT;PDE8B;PROS1;SPRED1;STAT3;TCIM;TGFB2;TGFBR2
28,network-forming collagen trimer,GO:0098642,CC,5.50e-03,35.653985507246375,FDR<0.01,3,COL4A1;COL4A2;COL8A1
29,response to mechanical stimulus,GO:0009612,BP,5.93e-03,5.231834829867675,FDR<0.01,9,BTG2;CHI3L1;FOS;FOSB;GADD45A;GAP43;MAP1B;MAP3K14;RCAN1
30,positive regulation of osteoblast proliferation,GO:0033690,BP,6.24e-03,35.653985507246375,FDR<0.01,3,CCN1;ITGAV;LTF
