theme_number,theme_name,go_id,namespace,fdr,fold_enrichment,anchor_confidence,n_genes,genes
1,regulation of anatomical structure morphogenesis,GO:0022603,BP,6.96e-07,4.38174202007042,FDR<0.01,27,ADAM12;ADAMTS9;CAMK2B;COL4A2;CPNE8;DNMBP;DPYSL5;GAS2;HMGA2;ITGA7;ITGB8;KANK1;LIMK1;LPAR1;PDGFA;PRAG1;PRKD1;RHOJ;RNF157;RUNX1;SEMA3E;SEMA5A;SHROOM3;SIPA1L1;SPRED1;SPRY2;TNFRSF12A
2,nervous system development,GO:0007399,BP,1.54e-05,4.275407079980354,FDR<0.01,23,ALK;CAMK2B;CHL1;CHRM3;DPF3;DPYSL5;ENC1;FGF14;GAP43;IGF2BP2;IGF2BP3;JAG1;KALRN;LAMA2;LAMA4;LIMK1;LSAMP;NES;NOVA1;PRKD1;SEMA3A;SEMA3E;SEMA5A
3,glutamatergic synapse,GO:0098978,CC,2.39e-05,4.154822819803971,FDR<0.01,21,ADGRL3;CNKSR2;CPNE4;CSMD2;DPYSL5;FGFR1;GRIK2;IL1RAP;ITGA3;KCND2;LIMK1;LPAR1;NRCAM;PCDH7;PLAT;SEMA3A;SH3KBP1;SHISA9;SLC1A2;TANC1;TRIO
4,cytoskeleton,GO:0005856,CC,1.61e-04,2.8922798079749192,FDR<0.01,27,ARHGAP26;ARSJ;CAMK2B;CDH2;DENND2A;DLC1;DNMBP;EML4;ENC1;FRMD5;GRIN2B;IGF2BP2;IQGAP2;KALRN;KANK1;KLHL4;LIMK1;LYST;MTCL1;NES;SH3KBP1;SHROOM3;SIPA1L1;SNTG1;SPRY2;SYNJ2;TRIM9
5,calcium-mediated signaling,GO:0019722,BP,7.30e-04,7.584200385356454,FDR<0.01,10,CAMK2D;CHRM3;GRIA3;GRIK2;GRIN2B;ITPR2;PRKD1;RCAN1;RYR3;SLC8A1
6,plasma membrane region,GO:0098590,CC,8.04e-04,2.4917878909592583,FDR<0.01,29,ABCC3;ADGRL3;CDH2;CHRM3;CNKSR2;CSMD2;DLC1;GAP43;GPR158;GRIA3;GRIK2;GRIN2B;ITGA3;JAG1;KANK1;KCND2;KCNMA1;LPAR1;MTCL1;NRCAM;PTPRJ;SHISA9;SHROOM3;SLC1A2;SNTG1;SPRED1;SPRY2;SPRY4;SYNJ2
7,cell adhesion,GO:0007155,BP,8.23e-04,3.0540404236334715,FDR<0.01,24,ADAM12;ADAMTS9;ADGRL3;CDH2;CDH4;CHL1;EPHA3;FREM2;IL1RAP;ITGA3;ITGA7;ITGB8;LAMA2;LAMA4;LAMC1;LSAMP;NRCAM;PCDH7;POSTN;SEMA5A;SRPX;TNFRSF12A;UBASH3B;VMP1
8,angiogenesis,GO:0001525,BP,2.16e-03,5.112944080015587,FDR<0.01,12,COL4A2;JAG1;MEIS1;NRCAM;PDGFA;PRKD1;PTPRJ;RHOJ;SCG2;SEMA3E;TNFRSF12A;VAV3
9,cell motility,GO:0048870,BP,3.29e-03,2.81349369134191,FDR<0.01,39,ADAMTS9;ADGRL3;CAMK2B;CDH2;CDH4;CEMIP;DLC1;EPHA3;FGFR1;FRMD5;ITGA3;ITGA7;ITGB8;JAG1;KANK1;LAMA2;LAMA4;LAMC1;LEF1;LPAR1;LRATD1;LYST;NRCAM;PDGFA;PLAT;PRAG1;PREX1;PRKD1;PTPRJ;RFFL;RHOJ;SCG2;SEMA3A;SEMA3E;SEMA5A;SH3KBP1;SPRED1;SPRY2;VAV3
10,negative regulation of lens fiber cell differentiation,GO:1902747,BP,5.39e-03,56.88150289017341,FDR<0.01,3,SPRED1;SPRED2;SPRY2
11,axon guidance,GO:0007411,BP,7.98e-03,6.022747364841891,FDR<0.01,9,DPYSL5;EPHA3;KALRN;NRCAM;PTPRJ;SEMA3A;SEMA3E;SEMA5A;TRIO
12,regulation of cell projection organization,GO:0031344,BP,8.42e-03,3.2232851637764934,FDR<0.01,17,ALK;CAMK2B;DPYSL5;ENC1;EPHA3;GAP43;GRIN2B;KANK1;LIMK1;LPAR1;PRAG1;PREX1;PRKD1;SEMA3A;SEMA5A;SIPA1L1;SPRY2
13,protein phosphorylation,GO:0006468,BP,8.42e-03,4.347630794153381,FDR<0.01,12,ALK;CAMK2B;CAMK2D;EPHA3;FGFR1;KALRN;LIMK1;MAP3K1;NEK6;PDGFA;PRKD1;STK17A
14,regulation of epithelial to mesenchymal transition,GO:0010717,BP,9.06e-03,8.125928984310487,FDR<0.01,7,EPHA3;JAG1;LEF1;SPRED1;SPRED2;SPRY2;WWTR1
15,regulation of postsynapse organization,GO:0099175,BP,1.20e-02,6.454638625835281,FDR<0.05,8,CAMK2B;CDH2;FGFR1;GRIN2B;IL1RAP;NRCAM;SIPA1L1;TANC1
16,dendrite,GO:0030425,CC,1.22e-02,3.2371587010667797,FDR<0.05,14,CHL1;CHRM3;DPYSL5;EPHA3;GAP43;GRIK2;GRIN2B;KCND2;KCNIP1;OSBP2;SAMD4A;SLC8A1;TANC1;TRIM9
17,regulation of cell-substrate adhesion,GO:0010810,BP,1.45e-02,5.417285989540326,FDR<0.05,9,CDK6;DLC1;EPHA3;JAG1;KANK1;LEF1;PTPRJ;SEMA3E;SPRY4
18,positive regulation of developmental process,GO:0051094,BP,1.45e-02,2.4443259970710147,FDR<0.05,24,ADAM12;ALK;CAMK2B;CPNE8;DPF3;FBN2;FGFR1;HMGA2;IL1RAP;ITGB8;JAG1;LAMA2;LAMC1;LEF1;LIMK1;LPAR1;NRCAM;PRKD1;PTPRZ1;RNF157;RUNX1;SEMA5A;SLC8A1;WWTR1
19,laminin trimer,GO:0043256,CC,1.59e-02,26.253001333926186,FDR<0.05,3,LAMA2;LAMA4;LAMC1
20,cell-cell signaling,GO:0007267,BP,1.64e-02,3.149148948936936,FDR<0.05,16,CHRM3;ESR2;FGF14;GRIA3;GRIK2;GRIN2B;HMGA2;IL1RAP;KCND2;KCNIP1;PDGFA;PLAT;SEMA5A;SH3KBP1;SLC1A2;SNTG1
21,regulation of neuronal synaptic plasticity,GO:0048168,BP,1.95e-02,11.60846997758641,FDR<0.05,5,CAMK2B;CAMK2D;GRIK2;GRIN2B;SHISA9
22,cell-cell junction,GO:0005911,CC,1.95e-02,2.9881464932924118,FDR<0.05,14,ADGRL3;CDH2;CDH4;DNMBP;FRMD5;ILDR2;JAG1;MAP3K1;PRKD1;PTPRJ;SH3KBP1;SHROOM3;SLC8A1;WWTR1
23,basement membrane,GO:0005604,CC,1.98e-02,6.691941516490989,FDR<0.05,6,COL22A1;COL4A2;FREM2;LAMA2;LAMA4;LAMC1
24,positive regulation of cell proliferation in bone marrow,GO:0071864,BP,2.04e-02,113.76300578034682,FDR<0.05,2,HMGA2;LEF1
25,ligand-gated calcium channel activity,GO:0099604,MF,2.12e-02,20.314822460776217,FDR<0.05,5,GRIA3;GRIK2;GRIN2B;ITPR2;RYR3
26,cell surface receptor protein tyrosine kinase signaling pathway,GO:0007169,BP,3.45e-02,3.5830867962313957,FDR<0.05,12,ALK;COL4A2;EPHA3;FGFR1;GRB10;KALRN;PDGFA;PLAT;PRKD1;PTPRJ;SIPA1L1;UBASH3B
27,protein serine kinase activity,GO:0106310,MF,3.59e-02,4.062964492155244,FDR<0.05,13,CAMK2B;CAMK2D;CDK14;CDK6;KALRN;LIMK1;MAP3K1;NEK6;PRKD1;STK17A;STK32A;STK32B;TRIO
28,ionotropic glutamate receptor complex,GO:0008328,CC,3.63e-02,10.342091434576982,FDR<0.05,4,GRIA3;GRIK2;GRIN2B;SHISA9
29,sarcoplasmic reticulum membrane,GO:0033017,CC,3.63e-02,10.342091434576982,FDR<0.05,4,CAMK2B;CAMK2D;ITPR2;RYR3
30,negative regulation of small GTPase mediated signal transduction,GO:0051058,BP,3.64e-02,9.807155670719553,FDR<0.05,5,DLC1;ITGA3;KANK1;SPRY2;SPRY4
