theme_number,theme_name,go_id,namespace,fdr,fold_enrichment,anchor_confidence,n_genes,genes
1,monoatomic ion channel complex,GO:0034702,CC,1.25e-13,7.72433052561664,FDR<0.01,26,CACNA1C;CACNA1D;CACNA1E;CNTNAP2;DLG2;DPP10;GABRA2;GABRB1;GABRG2;GRIA1;GRIK4;GRIN1;GRIN2A;GRIN2B;KCNB2;KCNC2;KCNJ3;KCNMA1;KCNMB2;KCNQ3;NALCN;OLFM3;PDE4D;SCN2A;SCN3B;SHISA9
2,glutamatergic synapse,GO:0098978,CC,1.86e-12,5.673120345904396,FDR<0.01,30,ANKS1B;BRINP1;CLSTN2;CNR1;CNTNAP2;DAB1;DGKI;ERBB4;ERC2;GRIA1;GRIK4;GRIN2A;GRIP2;GRM5;IL1RAPL2;NRG1;NRG3;NSG2;PCLO;PLEKHA5;PLPPR4;PLXNA4;PPFIA2;PTPRD;PTPRO;RGS7;SH3GL3;SHISA9;SYN3;SYT1
3,regulation of membrane potential,GO:0042391,BP,5.28e-12,7.231132460604742,FDR<0.01,27,ANK3;CACNA1C;CACNA1D;FGF13;GABRA2;GABRB1;GABRG2;GRIA1;GRIK4;GRIN1;GRIN2A;GRIN2B;GRM5;KCNB2;KCNC2;KCNJ3;KCNMA1;KCNMB2;NALCN;NEDD4L;RGS7;RIMS1;RIMS2;SCN2A;SCN3B;SYT1;UNC79
4,synapse organization,GO:0050808,BP,5.28e-12,10.093526353824275,FDR<0.01,28,ANK3;CAMK2B;CLSTN2;CNTN5;ERBB4;ERC2;FGF13;GABRA2;GABRG2;GRIA1;GRIN2B;GRM5;KIRREL3;LRFN2;NEDD4L;NRG3;PCLO;PLPPR4;PLXNA2;PLXNA4;PPFIA2;PTPRD;RIMS1;RIMS2;SEZ6L;SEZ6L2;SHANK2;SYN3
5,axon,GO:0030424,CC,2.77e-11,6.292523531819112,FDR<0.01,25,ANK3;CNR1;CNTN5;CNTNAP2;DCC;DGKI;DLG2;DSCAML1;FGF13;GABRA2;GABRG2;GAD1;GRM7;KCNC2;KIRREL3;NCAM2;NMNAT2;PCLO;PPFIA2;PTPRO;ROBO1;SCN2A;SLC4A10;SPTBN4;SYT1
6,GABA-ergic synapse,GO:0098982,CC,4.38e-09,12.291760749459524,FDR<0.01,13,CNR1;CNTN5;CNTNAP2;ERBB4;ERC2;GABRA2;GABRB1;GABRG2;GAD1;KCNC2;PCLO;PTPRO;SLC4A10
7,anterograde trans-synaptic signaling,GO:0098916,BP,3.31e-08,7.027079340023302,FDR<0.01,28,CACNA1E;CAMK2B;DLG2;GABBR2;GABRA2;GABRB1;GABRG2;GAD1;GRIA1;GRIK4;GRIN1;GRIN2A;GRIN2B;GRM5;GRM7;KCNQ3;NALCN;PCLO;PLPPR4;RIMBP2;RIMS1;RIMS2;RIT2;SHANK2;SHISA9;SLC4A10;SYN3;SYT1
8,postsynapse,GO:0098794,CC,1.71e-06,5.311757795135581,FDR<0.01,28,ANKS1B;CACNA1C;CLSTN2;DCC;DGKI;DLG2;ERBB4;FRMPD4;FRRS1L;GABRA2;GABRG2;GRIA1;GRIK4;GRIN1;GRIN2A;GRIN2B;GRM5;LRFN2;NEGR1;NSG2;NTM;PLPPR4;PPFIA2;PTPRO;SHANK2;SHISA9;SLC4A10;TENM2
9,monoatomic ion channel activity,GO:0005216,MF,1.34e-05,4.854232438831886,FDR<0.01,20,CACNA1C;CACNA1D;CACNA1E;GABRA2;GABRB1;GABRG2;GRIA1;GRIK4;GRIN1;GRIN2A;GRIN2B;KCNB2;KCNC2;KCNJ3;KCNMA1;KCNMB2;KCNQ3;NALCN;SCN2A;SCN3B
10,brain development,GO:0007420,BP,6.31e-05,7.330436402011298,FDR<0.01,12,BRINP1;CNTN5;CNTNAP2;DSCAML1;GRIN1;GRIN2A;GRIN2B;MACROD2;NRG1;PBX1;ROBO1;ROBO2
11,neuron projection membrane,GO:0032589,CC,1.10e-04,11.892869475138122,FDR<0.01,7,CNTNAP2;GABRA2;GABRG2;GRIA1;KCNC2;ROBO2;SHISA9
12,structural constituent of presynaptic active zone,GO:0098882,MF,1.17e-04,62.134175217048146,FDR<0.01,4,ERC2;PCLO;RIMS1;RIMS2
13,transmembrane transporter binding,GO:0044325,MF,3.28e-04,7.346946393907719,FDR<0.01,10,ANK3;CNTNAP2;DPP10;FGF13;KCNC2;NEDD4L;NEGR1;PDE4D;RIMS2;SCN3B
14,regulation of monoatomic ion transport,GO:0043269,BP,3.72e-04,4.594428449147926,FDR<0.01,15,ANK3;CACNA1C;CACNA1D;CAMK2B;DPP10;FGF13;GRIA1;GRIN1;GRIN2A;GRIN2B;KCNC2;NEDD4L;PDE4D;SCN3B;SPTBN4
15,presynapse,GO:0098793,CC,4.02e-04,4.473267361353941,FDR<0.01,30,CALB2;CNR1;CNTN5;CNTNAP2;DGKI;ERBB4;ERC2;GABRA2;GAD1;GRIA1;GRIK4;GRIN1;GRIN2A;KCNC2;KCNJ3;KCTD16;LRFN2;PPFIA2;PTPRD;PTPRN2;RGS7;RIMS1;RIMS2;SGIP1;SH3GL3;SLC4A10;SYN3;SYNPR;SYT1;TENM2
16,cell surface,GO:0009986,CC,9.98e-04,3.011605431438558,FDR<0.01,19,ANK3;CLSTN2;CNTNAP2;DCC;DSCAML1;GRIA1;GRIN1;GRIN2A;GRIN2B;IGSF3;IL1RAPL2;KCNJ3;KCNQ3;LRFN2;PPFIA2;PRLR;ROBO1;ROBO2;UNC5D
17,node of Ranvier,GO:0033268,CC,1.42e-03,21.74696132596685,FDR<0.01,4,ANK3;KCNQ3;SCN2A;SPTBN4
18,ionotropic glutamate receptor signaling pathway,GO:0035235,BP,1.72e-03,18.12246777163904,FDR<0.01,5,GRIA1;GRIK4;GRIN1;GRIN2A;GRIN2B
19,Schaffer collateral - CA1 synapse,GO:0098685,CC,1.75e-03,7.611436464088397,FDR<0.01,7,DCC;GABRB1;GRIA1;GRM5;LRFN2;PLPPR4;PTPRD
20,dendritic shaft,GO:0043198,CC,1.78e-03,12.94461983688503,FDR<0.01,5,GRIA1;GRM5;GRM7;KIRREL3;NEGR1
21,excitatory synapse,GO:0060076,CC,2.11e-03,9.188856898295851,FDR<0.01,6,CALB2;GRIA1;GRIN1;KCNJ3;PLXNA4;SYT1
22,associative learning,GO:0008306,BP,2.22e-03,12.081645181092695,FDR<0.01,6,CLSTN2;GRIA1;GRIN1;GRM5;SHANK2;TAFA2
23,neuron development,GO:0048666,BP,2.27e-03,7.630512745953281,FDR<0.01,21,ATP8A2;BRINP1;CAMK2B;CNTN5;DCC;DSCAML1;GABRB1;HECW1;HECW2;MYT1L;NEDD4L;OLFM3;PBX1;PLXNA4;PTPRD;PTPRO;ROBO1;ROBO2;SEMA3C;TENM2;UNC5D
24,axon initial segment,GO:0043194,CC,2.64e-03,18.12246777163904,FDR<0.01,4,ANK3;KCNQ3;LRRC7;SPTBN4
25,immune response,GO:0006955,BP,2.99e-03,0.07196214866302729,FDR<0.01,1,SEMA3C
26,ERBB4-ERBB4 signaling pathway,GO:0038138,BP,2.99e-03,54.36740331491713,FDR<0.01,3,ERBB4;NRG1;NRG3
27,neuron to neuron synapse,GO:0098984,CC,3.79e-03,8.155110497237569,FDR<0.01,6,GRIA1;GRIK4;GRM7;PLXNA4;PTPRD;SYT1
28,nucleic acid metabolic process,GO:0090304,BP,3.90e-03,0.4132308334044879,FDR<0.01,15,CELF4;CHD5;DLX5;ERBB4;ESRRG;HDAC9;HIVEP3;MYT1L;PBX1;RBFOX1;RUNX1T1;SCML4;SRRM4;TENM2;ZNF536
29,juxtaparanode region of axon,GO:0044224,CC,5.94e-03,27.183701657458563,FDR<0.01,3,CNTNAP2;DLG2;SPTBN4
30,sodium channel regulator activity,GO:0017080,MF,6.23e-03,13.591850828729282,FDR<0.01,5,ANK3;FGF13;FGF14;NEDD4L;SCN3B
