theme_number,theme_name,go_id,namespace,fdr,fold_enrichment,anchor_confidence,n_genes,genes
1,myelination,GO:0042552,BP,4.49e-08,19.749224594052183,FDR<0.01,15,ABCA2;BCAS1;CDK18;ERBB3;KLK6;LPAR1;MAG;MAL;MBP;MYRF;PLLP;PLP1;RNF220;SOX10;TPPP
2,structural constituent of myelin sheath,GO:0019911,MF,1.16e-04,51.413270637408566,FDR<0.01,5,MAL;MBP;MOBP;PLLP;PLP1
3,synapse,GO:0045202,CC,2.11e-04,2.6866792257078114,FDR<0.01,30,ANK3;ATP8A1;CNP;CNTN2;CNTNAP4;COL4A5;DLG2;DNAJC6;ELMO1;FGFR2;GPR37;GRM3;HAPLN2;IL1RAPL1;KCNMB4;LGI3;LPAR1;MBP;PCDH9;PLD1;PLP1;PPM1H;RASGRF2;RNF220;SEMA4D;SEPTIN4;SH3GL3;SHROOM4;SRCIN1;UNC5C
4,protein localization to axon,GO:0099612,BP,3.64e-04,56.554597701149426,FDR<0.01,4,ANK3;CNTN2;MAL;UGT8
5,neuron projection,GO:0043005,CC,5.27e-04,2.7484477387474486,FDR<0.01,26,ANK3;APOD;CLDN11;CNTN2;COBL;DLG2;GLDN;GPR37;GRM3;IL1RAPL1;ITGA2;KCNK1;KIRREL3;LGI3;LPAR1;LRP2;MAP7;MYO1D;PIEZO2;RASGRF1;SEPTIN4;SHTN1;SRCIN1;TMEM151A;TTLL7;UNC5C
6,internode region of axon,GO:0033269,CC,5.27e-04,84.83189655172414,FDR<0.01,3,ERMN;MBP;TUBB4A
7,compact myelin,GO:0043218,CC,5.27e-04,84.83189655172414,FDR<0.01,3,MAG;MBP;PLLP
8,apical plasma membrane,GO:0016324,CC,5.54e-04,4.178911160183455,FDR<0.01,15,ATP1B1;CLCA4;CLDND1;ERBB3;KCNK1;LRP2;MAL;PLD1;PLLP;SHROOM4;SLC5A11;SLCO1A2;SLCO3A1;TF;TMEM235
9,DNA-templated transcription,GO:0006351,BP,1.01e-03,0.1810471314962767,FDR<0.01,4,MYRF;SOX10;ST18;ZNF536
10,perinuclear region of cytoplasm,GO:0048471,CC,2.41e-03,3.0183633604546043,FDR<0.01,19,AATK;APLP1;APOD;COBL;HHATL;ITGA2;LDB3;MAP7;MOBP;PLAAT3;PLD1;PPP1R16B;PTGDS;RASGRP3;SHTN1;SPP1;SYNJ2;TF;TPPP
11,regulation of DNA-templated transcription,GO:0006355,BP,5.26e-03,0.31821905552381674,FDR<0.01,9,FGFR2;MYRF;NKX6-2;RNF220;SEMA4D;SOX10;SPP1;ST18;ZNF536
12,cell-cell adhesion,GO:0098609,BP,6.89e-03,3.493720321306528,FDR<0.01,16,CDH19;CERCAM;CLDN11;CNTN2;CSRP1;CTNNA3;DLG2;GLDN;IL1RAPL1;ITGA2;KIRREL3;MAG;MEGF10;NINJ2;PCDH9;SEMA4D
13,membrane organization,GO:0061024,BP,7.35e-03,3.3038768416479045,FDR<0.01,17,ABCA2;ANK3;ANO4;ATP1B1;ATP8A1;CNTN2;ELMO1;FA2H;GSN;IL1RAPL1;MAL;MEGF10;MYRF;PIP4K2A;PLAAT3;SH3GL3;SYNJ2
14,nucleoplasm,GO:0005654,CC,7.93e-03,0.4075442184672631,FDR<0.01,13,ABCA6;ANLN;DAAM2;FAM107B;KLK6;NECAB1;PIP4K2A;PPM1H;PPP1R14A;RAPGEF5;RNF220;SGK1;SOX10
15,Ras protein signal transduction,GO:0007265,BP,1.15e-02,10.129181677817806,FDR<0.05,6,PLD1;RAPGEF5;RASGRF1;RASGRF2;RASGRP3;SHTN1
16,transmembrane transport,GO:0055085,BP,1.21e-02,2.3821749421701006,FDR<0.05,27,ABCA2;ABCA6;ABCA8;ANO4;ATP1B1;ATP8A1;BEST1;BOK;CLCA4;GJB1;KCNK1;KCNMB4;LRP2;PIEZO2;PLCL1;SLC22A15;SLC24A2;SLC31A2;SLC44A1;SLC45A3;SLC5A11;SLC7A14;SLCO1A2;SLCO3A1;TMEM144;TMEM165;TMEM63A
17,transporter activity,GO:0005215,MF,1.23e-02,2.4742636494252874,FDR<0.05,28,ABCA2;ABCA6;ABCA8;ANO4;APOD;ATP1B1;ATP8A1;BEST1;BOK;CLCA4;GJB1;KCNK1;KCNMB4;LRP2;OSBPL1A;PIEZO2;SLC22A15;SLC24A2;SLC31A2;SLC44A1;SLC45A3;SLC5A11;SLC7A14;SLCO1A2;SLCO3A1;TMEM144;TMEM165;TMEM63A
18,cell surface,GO:0009986,CC,1.32e-02,2.8029975537012835,FDR<0.05,17,ANK3;CD22;CLDND1;CNTN2;FGFR2;FOLH1;GLDN;GPR37;HHIP;HSPA2;IL1RAPL1;ITGA2;LPAR1;MBP;PCSK6;TF;UNC5C
19,juxtaparanode region of axon,GO:0044224,CC,1.37e-02,28.277298850574713,FDR<0.05,3,CNTN2;DLG2;LGI3
20,basolateral plasma membrane,GO:0016323,CC,1.62e-02,4.113061650992686,FDR<0.05,10,ABCA8;ANK3;ATP1B1;BEST1;DLG2;ERBB3;MAP7;MYO1D;SLCO1A2;SLCO3A1
21,monoatomic ion transport,GO:0006811,BP,2.00e-02,2.5365976542819317,FDR<0.05,22,ANO4;ATP1B1;ATP8A1;BEST1;CLCA4;FTH1;KCNK1;KCNMB4;LRP2;PIEZO2;PLCL1;PLLP;SGK1;SLC22A15;SLC24A2;SLC31A2;SLC5A11;SLCO1A2;SLCO3A1;TF;TMEM165;TMEM63A
22,cytoskeleton,GO:0005856,CC,2.12e-02,2.343128341667208,FDR<0.05,22,ANK3;ANLN;COBL;CTNNA3;DLC1;ERMN;FRMD4B;GSN;KIF6;LDB3;MAP7;MTUS1;MYO1D;PLEKHH1;SEPTIN4;SHROOM4;SHTN1;SLAIN1;SRCIN1;SYNJ2;TPPP;TUBB4A
23,sphingolipid metabolic process,GO:0006665,BP,2.19e-02,5.875802358560978,FDR<0.05,8,ABCA2;ABCA8;ELOVL7;ENPP2;FA2H;PLPP2;ST6GALNAC3;UGT8
24,nuclear protein-containing complex,GO:0140513,CC,2.19e-02,0.0885048477326282,FDR<0.05,1,CLMN
25,DNA binding,GO:0003677,MF,2.78e-02,0.2672923089459603,FDR<0.05,6,MYRF;NKX6-2;OTUD7A;SOX10;ST18;ZNF536
26,regulation of oligodendrocyte differentiation,GO:0048713,BP,3.02e-02,16.15845648604269,FDR<0.05,4,DAAM2;MYRF;OPALIN;SLC45A3
27,neuronal cell body,GO:0043025,CC,3.05e-02,3.4370197497936115,FDR<0.05,11,APOD;CNTN2;COBL;ERMN;LPAR1;MBP;MYO1D;PDE1A;PDE1C;TUBB4A;UNC5C
