theme_number,theme_name,go_id,namespace,fdr,fold_enrichment,anchor_confidence,n_genes,genes
1,synapse organization,GO:0050808,BP,1.51e-09,9.067825791745477,FDR<0.01,29,ADGRL3;ANK3;BCAN;CDH10;CNTN6;CTNNA2;DISC1;DOCK10;DOCK4;GRID2;GRM5;IGSF21;LRP4;LRRC4C;LRRK2;LRRTM3;LRRTM4;NLGN4X;NLGN4Y;NRXN1;NTNG1;PPFIA2;PRKCA;PTPRD;RIMS1;RIMS2;SEZ6L;SRGAP2;SYN3
2,regulation of membrane potential,GO:0042391,BP,2.26e-08,6.129069701602401,FDR<0.01,22,ANK3;GRIA2;GRIA3;GRID2;GRM5;INSYN2A;KCND2;KCND3;KCNIP1;KCNMB2;LRRK2;NALCN;NLGN4X;NRXN1;PID1;RGS7;RIMS1;RIMS2;SCN1A;SCN3A;UNC79;UNC80
3,postsynapse,GO:0098794,CC,3.46e-08,6.175502047826662,FDR<0.01,28,ANKS1B;CACNG4;DCC;DLG2;DOCK10;DOCK4;GRIA2;GRIA3;GRID2;GRM5;GSG1L;HIP1;IGSF21;KCND2;KCND3;KCTD8;LRRC4C;LRRK2;LRRTM3;NLGN4X;NLGN4Y;NSG2;NTM;PDE4B;PPFIA2;PTPRO;SLC4A10;SRGAP2
4,Schaffer collateral - CA1 synapse,GO:0098685,CC,1.46e-07,12.442011494252874,FDR<0.01,11,CASK;DCC;GRIA2;GRM5;GSG1L;HIP1;LRRC4C;MYO5C;NTNG1;PTPRD;TNR
5,axon,GO:0030424,CC,9.83e-07,4.974709982971478,FDR<0.01,19,ADGRL3;ANK3;CADM2;CNTN1;CNTN6;CNTNAP2;CTNNA2;DCC;DISC1;DLG2;GAD1;LRRK2;NAV2;NTRK3;PPFIA2;PTPRO;SCN1A;SLC4A10;UNC80
6,monoatomic ion channel complex,GO:0034702,CC,2.53e-06,5.253705797374537,FDR<0.01,17,CACNG4;CNTNAP2;DLG2;DPP6;GRIA2;GRIA3;GRID2;KCND2;KCND3;KCNIP1;KCNIP4;KCNMB2;NALCN;PDE4B;SCN1A;SCN3A;UNC80
7,neuronal cell body,GO:0043025,CC,5.76e-05,4.6868451133549245,FDR<0.01,15,BRINP2;BRINP3;CNTNAP2;GRIA2;GRM5;KCND2;KCND3;LRP4;LRRK2;MAP2;MYO10;NRXN1;SCN1A;SEZ6L;SLC4A10
8,behavior,GO:0007610,BP,7.16e-05,5.230483024383762,FDR<0.01,16,BCHE;CNTN1;CNTNAP2;EGFR;GRM5;KAT2B;KCND2;LRRK2;NLGN4X;NLGN4Y;NRXN1;PRKCA;PTPRZ1;SCN3A;SEZ6L;SGK1
9,perineuronal net,GO:0072534,CC,7.93e-05,45.24367816091954,FDR<0.01,4,BCAN;PTPRZ1;TNR;VCAN
10,parallel fiber to Purkinje cell synapse,GO:0098688,CC,1.05e-04,23.564415708812263,FDR<0.01,5,CNTN6;CTNNA2;GRIA3;GRID2;SUSD4
11,transmembrane receptor protein tyrosine phosphatase activity,GO:0005001,MF,4.95e-04,33.26741041244084,FDR<0.01,5,PTPRD;PTPRE;PTPRN2;PTPRO;PTPRZ1
12,nuclear protein-containing complex,GO:0140513,CC,7.78e-04,0.0,FDR<0.01,0,
13,ion channel regulator activity,GO:0099106,MF,3.82e-03,6.614572830543793,FDR<0.01,10,ANK3;CACNG4;DPP6;FGF14;KCNIP1;KCNIP4;KCNMB2;NRXN1;PDE4B;SGK1
14,immune response,GO:0006955,BP,6.38e-03,0.07485717763222954,FDR<0.01,1,SUSD4
15,neuron projection development,GO:0031175,BP,7.80e-03,3.9211187739463607,FDR<0.01,21,ANK3;CNTN1;CNTN6;CNTNAP2;CSPG5;CTNNA2;DCC;DOCK10;LRP4;LRRK2;MAP2;NRXN1;NTNG1;OLIG1;PRKCA;PTPRO;PTPRZ1;SEMA5A;SGK1;SRGAP2;TNR
16,monoatomic cation channel activity,GO:0005261,MF,7.98e-03,4.32476335361731,FDR<0.01,13,CACNG4;GRIA2;GRIA3;KCND2;KCND3;KCNIP1;KCNIP4;KCNMB2;NALCN;SCN1A;SCN3A;SLC24A3;UNC80
17,neuron recognition,GO:0008038,BP,8.22e-03,13.465380405035578,FDR<0.01,5,CNTN6;CNTNAP2;NTM;OPCML;SEMA5A
18,AMPA glutamate receptor activity,GO:0004971,MF,8.55e-03,56.554597701149426,FDR<0.01,3,GRIA2;GRIA3;GRID2
19,prepulse inhibition,GO:0060134,BP,8.62e-03,42.41594827586207,FDR<0.01,3,CNTNAP2;CTNNA2;GRID2
20,anterograde trans-synaptic signaling,GO:0098916,BP,1.40e-02,4.231976698725467,FDR<0.05,19,CASK;CSPG5;DLG2;GAD1;GRIA2;GRIA3;GRID2;GRM5;KCND2;KCND3;KCNIP1;LRRK2;NLGN4X;NRXN1;PPFIA2;PTPRN2;RIMS1;RIMS2;SYN3
21,regulation of neuronal action potential,GO:0098908,BP,1.60e-02,33.93275862068966,FDR<0.05,3,NALCN;UNC79;UNC80
22,"symmetric, GABA-ergic, inhibitory synapse",GO:0098983,CC,1.76e-02,56.554597701149426,FDR<0.05,2,NLGN4X;NLGN4Y
23,cell adhesion mediator activity,GO:0098631,MF,1.82e-02,7.83925116649596,FDR<0.05,7,ADGRL3;CNTN1;CNTN6;LRRC4C;NLGN4X;NLGN4Y;NTNG1
24,cytoskeleton,GO:0005856,CC,1.94e-02,2.236622507955062,FDR<0.05,21,ANK3;CARMIL1;CASK;CTNNA2;DENND2A;DGKG;DISC1;HIP1;LRRK2;MAP2;MTSS1;MYO10;MYO5C;NAV2;PEAK1;PLEKHH2;PPP2R2B;SH3KBP1;SLAIN1;SNTG1;TRIB2
25,presynaptic active zone,GO:0048786,CC,2.12e-02,10.282654127481713,FDR<0.05,10,CDH10;CTNNA2;GAD1;KCTD8;NRXN1;NTM;NTNG1;PPFIA2;RIMS1;RIMS2
26,regulation of neural precursor cell proliferation,GO:2000177,BP,2.78e-02,9.92185924581569,FDR<0.05,5,DISC1;GRM5;LRRK2;NTRK3;PTPRZ1
27,cell-cell junction,GO:0005911,CC,3.22e-02,2.758760863470704,FDR<0.05,13,ADGRL3;ANK3;CASK;CDH10;CDH20;CNTNAP2;CTNNA2;DLG2;MAP3K1;PDZD2;SCN1A;SH3KBP1;TNK2
28,collagen type IV trimer,GO:0005587,CC,3.77e-02,37.70306513409962,FDR<0.05,2,COL4A3;COL4A4
29,basal dendrite,GO:0097441,CC,3.77e-02,37.70306513409962,FDR<0.05,2,MAP2;SLC4A10
30,endocytic vesicle,GO:0030139,CC,3.77e-02,4.374388772464596,FDR<0.05,7,CD82;EGFR;LRRK2;MTSS1;RAB31;SH3KBP1;SRGAP2
